name,category,subcategory,torrentSize,torrentLink,coverImageUrl
"Гудкайнд Терри - Меч истины 10, Десятое Правило Волшебника, или Призрак [Сибирцева Вера (ЛИ), 2018, 96 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.18 GB","magnet:?xt=urn:btih:C071ABFB8E9088FF94276DB6AFB182DB68F7827B&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","https://i112.fastpic.ru/big/2020/0626/92/51c12544d3bd1e2e35f4b9793f19ec92.jpg"
"Гудкайнд Терри - Меч истины 9, Девятое правило волшебника, или Огненная цепь [Палазник Вячеслав (ЛИ), 2017, 160 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.89 GB","magnet:?xt=urn:btih:DF56F8E00EDD04700D46F1852AAD725085B9F1A5&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://i93.fastpic.ru/big/2017/0525/ee/5ce2c1ab916fee1f956c665cf61dc1ee.jpg"
"Терри Гудкайнд - Восьмое правило волшебника [Палазник Вячеслав (ЛИ), 2016 г., 160 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.7 GB","magnet:?xt=urn:btih:DAC4E9DE8A957F77A2EEDEB589F138D3524C8ED3&tr=http%3A%2F%2Fbt4.t-ru.org%2Fann%3Fmagnet","http://i61.fastpic.ru/big/2016/0701/26/fed03a512497d2c0e8b9931d8c686826.jpg"
"Гудкайнд Терри - Седьмое правило волшебника или Столпы творения [Палазник Вячеслав (ЛИ), 2014 г., 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.82 GB","magnet:?xt=urn:btih:B75F3A7417B8A014EB45AC11BB830B2E8B08EBEB&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i67.fastpic.ru/big/2014/1104/54/dff7e917327580df5e180fcf6045d854.jpg"
"Гудкайнд Терри - Шестое правило волшебника [Котун-Звездун (ЛИ), 2014 г., 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","1.78 GB","magnet:?xt=urn:btih:627048CC4CE3EFB09C2FB9B90DF3ACB22F32E6B4&tr=http%3A%2F%2Fbt3.t-ru.org%2Fann%3Fmagnet","http://www.knigisosklada.ru/images/books/3256/big/3256930.jpg"
"Гудкайнд Терри - Пятое правило волшебника или Дух Огня. [Natlyk (ЛИ), 2011 г., 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","2.34 GB","magnet:?xt=urn:btih:C7C3A80FC915511A4D76032607207F3DE64E83C6&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i24.fastpic.ru/big/2011/0701/a2/2f62b48ec42e6646eed537135361aea2.jpg"
"Пратчетт Терри - Городская стража. Плоский мир. 7, Шмяк! [Макс Потёмкин, (ЛИ), 2019, 128 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","689.1 MB","magnet:?xt=urn:btih:3F481B44B775565E68C14BF9D5675960C8CE684C&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","https://c.radikal.ru/c20/1911/f7/0c68d328a7ee.jpg"
"Гудкайнд Терри - Четвертое правило волшебника или Храм Ветров [Natlyk, 2010 г., 192 kbps, MP3]","Фантастика, фэнтези, мистика, ужасы, фанфики","[Аудио] Зарубежная фантастика, фэнтези, мистика, ужасы, фанфики","2.33 GB","magnet:?xt=urn:btih:3D10843030713315A50DFD13E8BF41BB72C9330D&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i5.fastpic.ru/big/2010/1025/ae/33b588ff9dbe88d71a37269e141baeae.jpg"
"Иоанн Сан-Францисский (Шаховской) - Беседы с русским народом [Алексей Ковалёв, 2008, 32-22-mono]","Религии","[Аудио] Православие","79.7 MB","magnet:?xt=urn:btih:69B8F27B38CAB232310E137EDF4A077F6BAA39E9&tr=http%3A%2F%2Fbt2.t-ru.org%2Fann%3Fmagnet","http://i3.fastpic.ru/big/2009/1023/78/f606c060143f722150780a9f9a7bd878.jpg"
"Московский Иннокентий, святитель - Указание пути в Царствие Небесное. Жизнеописание Святителя Иннокентия [Денис Сысоев, 2013 г., 320 kbps, MP3]","Религии","[Аудио] Православие","469.9 MB","magnet:?xt=urn:btih:1C7A2C0DE18CCA22B71807BF660204CAE4455552&tr=http%3A%2F%2Fbt.t-ru.org%2Fann%3Fmagnet","http://i58.fastpic.ru/big/2013/1117/b9/d79480888c2a49c77d82431d8e3860b9.jpg"
